iter	Logloss
0	0.6918073605
1	0.6902850969
2	0.6886501195
3	0.6871629292
4	0.6858106743
5	0.684294338
6	0.6822740967
7	0.6813792613
8	0.6800825954
9	0.6788591107
10	0.6777498411
11	0.6763255723
12	0.6750045361
13	0.6737243398
14	0.6725138764
15	0.6710953136
16	0.6695390599
17	0.6684467573
18	0.6672242523
19	0.6663593342
20	0.6652151297
21	0.663897099
22	0.6628784724
23	0.661647084
24	0.6605192185
25	0.6596863533
26	0.6586898027
27	0.6575883616
28	0.6562545629
29	0.6547908217
30	0.6538234099
31	0.6527202547
32	0.6514995844
33	0.650433173
34	0.6496507228
35	0.64859628
36	0.647414568
37	0.6464814277
38	0.64547148
39	0.6448100718
40	0.643935561
41	0.6431065366
42	0.6421484012
43	0.641008866
44	0.6401759455
45	0.6392107489
46	0.6384479956
47	0.6373182041
48	0.6359164463
49	0.6352154047
50	0.6343006815
51	0.633262542
52	0.6319675439
53	0.6310628729
54	0.6302079722
55	0.6293030076
56	0.6285954854
57	0.6277823308
58	0.6267081625
59	0.6259014049
60	0.6251673991
61	0.6241442862
62	0.6230694788
63	0.6221187192
64	0.6211314063
65	0.6203971295
66	0.6197056484
67	0.6188022339
68	0.6181269989
69	0.6175228143
70	0.6167605231
71	0.6159813432
72	0.6149708517
73	0.6141584089
74	0.6131271642
75	0.6125844641
76	0.6117163482
77	0.6108895987
78	0.6095844622
79	0.6089303939
80	0.6080878036
81	0.607450944
82	0.6067498279
83	0.6059842784
84	0.6051150084
85	0.6043205318
86	0.6034529159
87	0.6027662766
88	0.6023508648
89	0.6014647054
90	0.6010635352
91	0.6002484147
92	0.5995441818
93	0.598873166
94	0.5981773726
95	0.5975882234
96	0.5970449194
97	0.5963783845
98	0.5956150944
99	0.5949467896
100	0.5938280483
101	0.5934759898
102	0.5929703092
103	0.592493223
104	0.5918466516
105	0.5910403498
106	0.5903155122
107	0.5897372316
108	0.5890342686
109	0.5884228343
110	0.5879731413
111	0.5875316822
112	0.5868814688
113	0.5863946502
114	0.5857980701
115	0.5853956996
116	0.5850736701
117	0.5844049225
118	0.5838780869
119	0.583499052
120	0.5829947502
121	0.5824433816
122	0.5820390402
123	0.5814075002
124	0.5810923848
125	0.5806534271
126	0.5801988592
127	0.5796173335
128	0.5791122971
129	0.5786497521
130	0.5781344896
131	0.5776474182
132	0.5770587708
133	0.5763221172
134	0.5755220199
135	0.5749328994
136	0.5741976486
137	0.5734899108
138	0.5727310905
139	0.5721680192
140	0.571785257
141	0.5713077964
142	0.5703855911
143	0.5697761005
144	0.5691610572
145	0.5684056075
146	0.5678896866
147	0.5674261448
148	0.5667702806
149	0.5664712128
150	0.5659987823
151	0.5655931223
152	0.5649945066
153	0.5643876406
154	0.5639174008
155	0.5634832366
156	0.5624849452
157	0.5618652434
158	0.5612564652
159	0.5604461792
160	0.5597326144
161	0.5593894583
162	0.5587853757
163	0.5584713295
164	0.5580581802
165	0.5576502202
166	0.5570743139
167	0.5564482647
168	0.5558108512
169	0.5552618542
170	0.5548125779
171	0.5546274775
172	0.5542668128
173	0.5538565045
174	0.5534918318
175	0.5529113861
176	0.5523312941
177	0.5518171807
178	0.5514158128
179	0.5509967926
180	0.5506457633
181	0.5501444087
182	0.5497136761
183	0.5490987795
184	0.5487129742
185	0.5479916018
186	0.5475464452
187	0.5470918339
188	0.5465649842
189	0.5463404509
190	0.5459527427
191	0.5456030366
192	0.5453205936
193	0.5448406546
194	0.5441235649
195	0.5438660027
196	0.5433430471
197	0.5426973905
198	0.5424366123
199	0.5419798168
200	0.5415473186
201	0.5410049206
202	0.5405380421
203	0.5401936685
204	0.5397377482
205	0.539426411
206	0.5389378166
207	0.5384649897
208	0.5380266659
209	0.5374918507
210	0.5369121817
211	0.5365811273
212	0.5361339845
213	0.5357601775
214	0.5352341996
215	0.5344134519
216	0.5340052886
217	0.5335579256
218	0.5331072201
219	0.5328574384
220	0.5325764988
221	0.5322706577
222	0.5319046571
223	0.5315343666
224	0.5309136672
225	0.5306049508
226	0.5303010936
227	0.5298925537
228	0.529474295
229	0.5291709523
230	0.5288133683
231	0.5281452817
232	0.5276626838
233	0.5271589509
234	0.5269182129
235	0.5264777747
236	0.5260661888
237	0.5255178125
238	0.5251986256
239	0.5248325074
240	0.5244069608
241	0.5240111043
242	0.5237253269
243	0.5233319951
244	0.5229598
245	0.5227744214
246	0.5223201413
247	0.5218611171
248	0.5215305
249	0.520994238
250	0.5205662858
251	0.5202441782
252	0.5198883207
253	0.5196371689
254	0.5193689057
255	0.5192367095
256	0.5188436707
257	0.518094992
258	0.5177239969
259	0.517334996
260	0.5171130755
261	0.5165675201
262	0.5162067093
263	0.5156169371
264	0.5154051862
265	0.5148756825
266	0.5143175484
267	0.5140317603
268	0.5137387051
269	0.5134651082
270	0.5132210948
271	0.5129824091
272	0.5126838539
273	0.5124203927
274	0.5121430149
275	0.5118346242
276	0.5114101803
277	0.5108031743
278	0.5104230312
279	0.510084373
280	0.5097895547
281	0.5095024963
282	0.5093027248
283	0.5089109964
284	0.5085549298
285	0.5082586477
286	0.5076627492
287	0.5073921301
288	0.5068743774
289	0.5064452671
290	0.5062243488
291	0.505827784
292	0.5054729353
293	0.5050543637
294	0.5048140275
295	0.5042821293
296	0.5038012488
297	0.5035820369
298	0.5032452688
299	0.5027754525
300	0.5022193363
301	0.5017959736
302	0.5015065472
303	0.5011655163
304	0.5006235678
305	0.5001828365
306	0.499952061
307	0.4997374225
308	0.499547134
309	0.4991138767
310	0.4989281352
311	0.49868172
312	0.4983229542
313	0.4980206094
314	0.4975511933
315	0.4973130255
316	0.4966506228
317	0.4962964197
318	0.4959604918
319	0.4954934097
320	0.4951796417
321	0.494866335
322	0.4944458345
323	0.4941990447
324	0.4936783086
325	0.4933439544
326	0.4928992438
327	0.49260763
328	0.4923991706
329	0.492022062
330	0.4917211461
331	0.4913443009
332	0.4909691733
333	0.4905968193
334	0.4903862333
335	0.4901112203
336	0.4899742192
337	0.4896177358
338	0.4891118348
339	0.4888551988
340	0.4884090093
341	0.488234668
342	0.4880969003
343	0.4877864988
344	0.4875554492
345	0.4872210122
346	0.486883101
347	0.4866890716
348	0.4864265013
349	0.486219066
350	0.4857875912
351	0.4854876364
352	0.4850752521
353	0.4848872412
354	0.4846462673
355	0.484238992
356	0.4839782251
357	0.4834110186
358	0.4831968365
359	0.4827102792
360	0.4824070956
361	0.4821444682
362	0.4817859523
363	0.481409425
364	0.4811005606
365	0.4809513102
366	0.4806368641
367	0.4803119436
368	0.4799815434
369	0.4795731066
370	0.4790942546
371	0.4788370383
372	0.4786304317
373	0.4780600401
374	0.4776125648
375	0.4772688703
376	0.4769353705
377	0.4767969362
378	0.4764698657
379	0.4760793232
380	0.4758551396
381	0.4755556148
382	0.4751815981
383	0.474887904
384	0.4747834222
385	0.4745896398
386	0.4740511556
387	0.4736441467
388	0.4733976349
389	0.4732160469
390	0.4730091442
391	0.4727010085
392	0.4723321601
393	0.4719832227
394	0.4717567091
395	0.4714781962
396	0.4709870833
397	0.4704427582
398	0.4702760078
399	0.4699686085
400	0.4696954916
401	0.4694291182
402	0.4693150773
403	0.4687913339
404	0.4684618493
405	0.46820184
406	0.4678333619
407	0.4675079121
408	0.4670287087
409	0.4668330206
410	0.4665689508
411	0.4664090885
412	0.4660624868
413	0.4657193342
414	0.4654675869
415	0.4651287691
416	0.4648390486
417	0.4643392776
418	0.4639557799
419	0.4637573912
420	0.4634309824
421	0.4631767155
422	0.4630138509
423	0.4626963071
424	0.4622371946
425	0.4619090157
426	0.4612846683
427	0.4608416089
428	0.4603683688
429	0.4601224528
430	0.459696844
431	0.4594024729
432	0.4591280611
433	0.458937853
434	0.4587081444
435	0.4583758395
436	0.4582019586
437	0.4580359089
438	0.4576862496
439	0.457184764
440	0.4566873134
441	0.4564838031
442	0.4561844652
443	0.4558320873
444	0.4555754614
445	0.4552692788
446	0.454767428
447	0.4545434329
448	0.4542648774
449	0.4539974317
450	0.4536495576
451	0.4531493344
452	0.4529439265
453	0.452511151
454	0.4521561397
455	0.452016479
456	0.451888502
457	0.4516330622
458	0.4511063667
459	0.4507690249
460	0.4504309417
461	0.4500851086
462	0.4495574286
463	0.4492098298
464	0.4490277312
465	0.4488845527
466	0.4483607061
467	0.4482055393
468	0.4477278511
469	0.447323404
470	0.4469864849
471	0.4464252501
472	0.4462363836
473	0.4458923566
474	0.4455350551
475	0.4451981716
476	0.4448653022
477	0.4444535165
478	0.4442878194
479	0.4441020697
480	0.443781236
481	0.4433798249
482	0.4429630242
483	0.4428362722
484	0.4427093007
485	0.4423126299
486	0.4421170395
487	0.4419389627
488	0.4415556125
489	0.4412031212
490	0.4408636362
491	0.4406836881
492	0.4404750213
493	0.4402158745
494	0.4400360977
495	0.439829928
496	0.439496652
497	0.4391364012
498	0.4389110984
499	0.4385945191
500	0.438307821
501	0.4380246522
502	0.4377586838
503	0.4374298898
504	0.4370351368
505	0.4368197293
506	0.4366427787
507	0.436090549
508	0.4356723381
509	0.4354204211
510	0.4351678532
511	0.434609882
512	0.4343502843
513	0.4340934998
514	0.43378265
515	0.433401911
516	0.4331852783
517	0.4329995435
518	0.4327338126
519	0.43235793
520	0.4321345613
521	0.4316739623
522	0.4314149932
523	0.4312906966
524	0.4309292474
525	0.4306948755
526	0.4304737163
527	0.4300269599
528	0.4298523972
529	0.4293823026
530	0.4289838836
531	0.4284676138
532	0.4281623027
533	0.4280338786
534	0.427733121
535	0.4274380391
536	0.4271209901
537	0.4267621982
538	0.4264092113
539	0.4259189081
540	0.4256968618
541	0.4253717118
542	0.4250732657
543	0.4247881194
544	0.4244321295
545	0.42415645
546	0.4239580913
547	0.4237048674
548	0.4234816854
549	0.4230398621
550	0.4229171108
551	0.422648376
552	0.422271405
553	0.4219850379
554	0.421661542
555	0.4215241945
556	0.4212903272
