Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,AvgH,AvgD,AvgA,P<2.5,FTR_A,FTR_D,FTR_H
2024-05-05,17:30:00,St. Gilloise,Anderlecht,0.0,0.0,0.0,0.0,D,19.0,12.0,8.0,9.0,12.0,8.0,8.0,3.0,4.0,1.0,0.0,0.0,1.7,3.96,4.66,1.71,3.84,4.47,2.12,0.0,1.0,0.0
2024-05-05,15:00:00,Oud-Heverlee Leuven,Standard,3.0,1.0,0.0,1.0,A,16.0,8.0,7.0,1.0,10.0,14.0,4.0,1.0,1.0,1.0,0.0,0.0,2.45,3.39,2.89,2.36,3.44,2.82,2.13,0.0,0.0,1.0
2024-05-05,12:30:00,Antwerp,Club Brugge,1.0,2.0,0.0,0.0,D,10.0,10.0,5.0,4.0,10.0,11.0,2.0,3.0,3.0,1.0,0.0,0.0,3.81,3.64,1.94,3.72,3.61,1.91,2.03,1.0,0.0,0.0
2024-05-04,19:45:00,Cercle Brugge,Genk,4.0,1.0,3.0,1.0,H,16.0,13.0,6.0,6.0,16.0,16.0,4.0,1.0,1.0,3.0,0.0,0.0,2.55,3.51,2.76,2.5,3.51,2.64,2.23,0.0,0.0,1.0
2024-05-04,17:15:00,Mechelen,Gent,2.0,4.0,2.0,3.0,A,15.0,13.0,8.0,5.0,11.0,10.0,6.0,2.0,2.0,0.0,0.0,0.0,3.38,3.84,2.07,3.26,3.72,2.04,2.57,1.0,0.0,0.0
2024-05-04,15:00:00,RWD Molenbeek,Charleroi,1.0,3.0,0.0,3.0,A,14.0,12.0,6.0,5.0,8.0,9.0,4.0,5.0,0.0,1.0,0.0,0.0,2.59,3.42,2.78,2.5,3.37,2.71,1.94,1.0,0.0,0.0
2024-05-03,19:45:00,Westerlo,St Truiden,2.0,2.0,1.0,1.0,D,19.0,8.0,6.0,4.0,4.0,11.0,6.0,4.0,2.0,2.0,0.0,0.0,2.39,3.8,2.79,2.36,3.71,2.7,2.59,0.0,1.0,0.0
2024-04-28,18:15:00,RWD Molenbeek,Kortrijk,0.0,1.0,0.0,1.0,A,15.0,10.0,4.0,3.0,13.0,10.0,6.0,5.0,2.0,2.0,0.0,0.0,2.4,3.4,2.95,2.35,3.38,2.88,1.95,1.0,0.0,0.0
2024-04-28,17:30:00,St. Gilloise,Antwerp,4.0,1.0,2.0,1.0,H,14.0,3.0,10.0,2.0,14.0,9.0,3.0,2.0,2.0,4.0,0.0,0.0,1.68,4.01,4.77,1.68,3.91,4.65,2.18,0.0,0.0,1.0
2024-04-28,15:00:00,Cercle Brugge,Anderlecht,1.0,1.0,0.0,1.0,A,18.0,9.0,4.0,5.0,9.0,9.0,4.0,3.0,1.0,1.0,0.0,0.0,2.91,3.47,2.4,2.8,3.43,2.37,2.15,0.0,1.0,0.0
2024-04-28,12:30:00,Genk,Club Brugge,0.0,3.0,0.0,1.0,A,14.0,11.0,3.0,4.0,8.0,10.0,6.0,3.0,1.0,2.0,0.0,0.0,2.95,3.53,2.34,2.89,3.54,2.27,2.24,1.0,0.0,0.0
2024-04-27,19:45:00,Gent,Westerlo,3.0,2.0,2.0,2.0,D,15.0,23.0,6.0,7.0,9.0,12.0,3.0,10.0,2.0,3.0,0.0,0.0,1.35,5.72,7.81,1.34,5.36,7.38,3.04,0.0,0.0,1.0
2024-04-27,17:15:00,Standard,St Truiden,1.0,1.0,0.0,1.0,A,19.0,11.0,6.0,6.0,6.0,10.0,5.0,4.0,0.0,2.0,0.0,0.0,2.25,3.49,3.25,2.2,3.41,3.15,1.97,0.0,1.0,0.0
2024-04-27,15:00:00,Mechelen,Oud-Heverlee Leuven,3.0,0.0,0.0,0.0,D,17.0,17.0,7.0,4.0,10.0,12.0,4.0,3.0,1.0,1.0,0.0,0.0,1.98,3.83,3.64,1.96,3.67,3.53,2.2,0.0,0.0,1.0
2024-04-26,19:45:00,Eupen,Charleroi,1.0,2.0,0.0,2.0,A,12.0,12.0,2.0,4.0,13.0,15.0,4.0,5.0,2.0,1.0,0.0,0.0,3.5,3.21,2.26,3.35,3.19,2.23,1.65,1.0,0.0,0.0
2024-04-25,19:30:00,Antwerp,St. Gilloise,0.0,3.0,0.0,0.0,D,6.0,13.0,1.0,7.0,9.0,19.0,5.0,5.0,3.0,4.0,0.0,0.0,3.02,3.3,2.41,2.87,3.35,2.38,1.92,1.0,0.0,0.0
2024-04-24,19:30:00,Anderlecht,Cercle Brugge,3.0,0.0,2.0,0.0,H,12.0,7.0,5.0,4.0,6.0,12.0,4.0,2.0,1.0,4.0,0.0,0.0,1.93,3.67,3.98,1.93,3.61,3.73,2.14,0.0,0.0,1.0
2024-04-24,19:30:00,Club Brugge,Genk,4.0,0.0,1.0,0.0,H,15.0,12.0,7.0,4.0,12.0,16.0,0.0,4.0,0.0,1.0,0.0,0.0,1.79,3.9,4.41,1.79,3.85,4.12,2.26,0.0,0.0,1.0
2024-04-23,19:30:00,St Truiden,Gent,0.0,2.0,0.0,1.0,A,17.0,15.0,5.0,5.0,12.0,8.0,5.0,4.0,2.0,1.0,0.0,0.0,3.86,3.81,1.93,3.69,3.83,1.89,2.45,1.0,0.0,0.0
