team,20_AGS,20_AGC,20_AGD,20_AS,20_AST,20_AF,20_AC,20_AY,20_AR,home_average_goals_scored_20,home_average_goals_conceded_20,home_average_goal_difference_20,home_average_shots_20,home_average_shots_on_target_20,home_average_fouls_20,home_average_corners_20,home_average_yellow_cards_20,home_average_red_cards_20,away_average_goals_scored_20,away_average_goals_conceded_20,away_average_goal_difference_20,away_average_shots_20,away_average_shots_on_target_20,away_average_fouls_20,away_average_corners_20,away_average_yellow_cards_20,away_average_red_cards_20
Kortrijk,1.05,1.55,-0.5,11.3,3.85,10.3,5.85,1.85,0.05,0.95,1.55,-0.6000000000000001,12.55,4.15,10.6,5.9,2.15,0.1,0.65,2.0,-1.35,9.2,2.8,10.75,4.7,2.0,0.05
St. Gilloise,1.5,1.0,0.5,14.8,5.6,12.9,6.1,2.65,0.1,1.9,1.0,0.8999999999999999,17.3,6.5,11.85,6.25,2.1,0.0,1.85,1.05,0.8,14.0,5.6,13.45,6.1,2.75,0.15
Gent,2.25,1.1,1.15,13.4,5.35,9.9,4.85,1.3,0.05,2.3,1.1,1.1999999999999997,15.25,6.4,10.55,5.75,1.35,0.05,1.5,1.2,0.30000000000000004,12.75,4.95,9.35,4.65,1.2,0.2
Club Brugge,1.9,0.85,1.0499999999999998,16.5,5.65,10.05,5.45,1.35,0.05,2.0,0.7,1.3,17.25,6.1,10.8,6.15,1.25,0.0,1.65,1.05,0.5999999999999999,14.1,4.85,10.1,5.9,2.25,0.15
Oud-Heverlee Leuven,1.15,1.1,0.04999999999999982,12.25,4.35,11.5,4.1,2.2,0.15,1.45,1.05,0.3999999999999999,12.5,4.2,10.95,5.05,2.55,0.15,0.85,1.5,-0.65,10.25,3.95,12.5,4.15,2.1,0.05
Beerschot VA,1.2,2.55,-1.3499999999999999,9.65,3.7,11.8,4.55,2.45,0.2,1.05,2.0,-0.95,11.5,3.95,12.0,5.1,2.0,0.2,0.95,2.45,-1.5000000000000002,10.4,3.55,11.95,4.85,2.85,0.3
Mechelen,1.95,1.6,0.34999999999999987,13.1,5.25,9.45,5.1,1.55,0.05,1.9,1.55,0.34999999999999987,15.4,5.95,9.6,6.0,1.55,0.0,1.1,1.3,-0.19999999999999996,10.4,4.15,10.55,3.9,1.9,0.05
Genk,1.0,1.5,-0.5,14.1,4.8,11.65,4.6,1.5,0.15,1.65,1.0,0.6499999999999999,15.4,5.6,10.5,4.5,1.4,0.05,1.3,1.6,-0.30000000000000004,14.5,4.9,13.4,5.1,2.35,0.25
Charleroi,1.1,1.1,0.0,12.0,4.05,12.8,4.35,1.9,0.05,1.25,1.2,0.050000000000000044,13.6,4.65,11.35,5.5,1.8,0.05,0.95,1.65,-0.7,10.85,3.85,12.95,4.65,1.9,0.1
Standard,1.2,1.6,-0.40000000000000013,11.65,3.95,10.35,4.2,1.45,0.05,1.1,0.75,0.3500000000000001,13.3,4.35,10.0,5.2,1.15,0.0,1.15,2.3,-1.15,10.1,3.45,11.75,3.2,2.05,0.15
St Truiden,1.15,1.75,-0.6000000000000001,10.7,3.75,10.5,3.7,1.2,0.05,1.45,1.25,0.19999999999999996,13.4,4.95,8.35,4.9,1.15,0.05,1.05,2.25,-1.2,11.05,3.8,10.95,3.6,1.75,0.0
Dender,2.0,1.3333333333333333,0.6666666666666667,12.166666666666666,4.5,12.666666666666666,4.166666666666667,2.0,0.0,1.6666666666666667,1.0,0.6666666666666667,8.666666666666666,3.6666666666666665,11.666666666666666,4.333333333333333,2.3333333333333335,0.0,2.3333333333333335,1.6666666666666667,0.6666666666666667,15.666666666666666,5.333333333333333,13.666666666666666,4.0,1.6666666666666667,0.0
Antwerp,1.15,1.35,-0.20000000000000018,12.45,4.9,10.05,5.75,2.25,0.1,1.95,1.15,0.8,15.35,5.5,9.7,6.35,1.9,0.0,1.1,1.2,-0.09999999999999987,11.35,4.3,9.5,4.85,1.95,0.15
Westerlo,1.45,1.9,-0.44999999999999996,14.85,5.0,10.6,5.15,2.4,0.15,1.6,1.75,-0.1499999999999999,14.1,4.5,10.15,5.8,1.95,0.15,1.45,1.95,-0.5,11.7,4.7,12.2,3.75,2.85,0.1
Cercle Brugge,1.4,1.35,0.04999999999999982,13.0,4.5,12.15,5.1,1.9,0.1,1.85,1.3,0.55,17.1,5.55,11.55,6.25,1.95,0.05,1.05,1.45,-0.3999999999999999,13.1,4.0,14.25,4.75,2.6,0.15
Anderlecht,1.45,0.9,0.5499999999999999,12.95,5.25,9.7,4.25,1.75,0.05,1.85,0.8,1.05,14.1,5.0,9.35,4.9,1.45,0.05,1.75,1.25,0.5,12.45,5.4,10.85,3.65,1.75,0.05
Eupen,0.5,1.65,-1.15,9.75,3.25,13.15,4.4,1.85,0.1,1.0,1.85,-0.8500000000000001,10.35,3.0,12.75,4.2,1.7,0.05,0.5,2.1,-1.6,9.3,3.15,12.95,4.2,2.05,0.1
RWD Molenbeek,1.05,2.45,-1.4000000000000001,9.8,3.75,12.45,3.95,2.15,0.2,1.0555555555555556,1.8333333333333333,-0.7777777777777777,10.38888888888889,4.388888888888889,11.666666666666666,4.277777777777778,1.8333333333333333,0.05555555555555555,1.1111111111111112,2.388888888888889,-1.2777777777777777,9.833333333333334,3.7222222222222223,12.833333333333334,3.0555555555555554,2.4444444444444446,0.2777777777777778
Waregem,1.7,2.4,-0.7,10.85,4.0,13.35,4.7,1.8,0.25,1.55,2.4,-0.8499999999999999,11.1,3.9,13.3,4.3,2.5,0.15,1.2,1.9,-0.7,9.65,3.95,12.7,4.3,2.25,0.2
Seraing,0.7,2.2,-1.5000000000000002,7.25,1.9,12.3,3.85,2.55,0.25,0.45,1.85,-1.4000000000000001,8.85,2.25,11.95,4.05,2.55,0.4,1.15,2.1,-0.9500000000000002,6.95,2.4,11.65,3.2,1.85,0.1
Oostende,1.1,2.5,-1.4,13.15,4.75,12.7,4.35,2.15,0.25,1.05,1.9,-0.8499999999999999,13.3,4.85,11.8,5.1,2.1,0.3,1.0,2.5,-1.5,10.5,3.75,11.95,3.95,2.2,0.15
Mouscron,1.15,1.55,-0.40000000000000013,12.6,4.55,14.7,4.85,2.45,0.05,1.05,1.2,-0.1499999999999999,11.2,4.2,13.25,5.1,2.4,0.05,0.9,1.8,-0.9,9.85,3.4,13.3,3.3,2.1,0.15
Waasland-Beveren,1.25,2.0,-0.75,10.25,4.1,12.5,4.5,2.0,0.1,1.1,2.3,-1.1999999999999997,11.35,4.4,12.75,5.15,2.35,0.2,1.2,1.85,-0.6500000000000001,8.5,3.45,11.7,3.2,2.25,0.05
