HomeTeam,AwayTeam,FTR,head_to_head_games,head_to_head_goals_scored_home_team,head_to_head_goals_conceded_home_team,head_to_head_goals_scored_away_team,head_to_head_goals_conceded_away_team,home_average_goals_scored_5,home_average_goals_conceded_5,home_average_goal_difference_5,away_average_goals_scored_5,away_average_goals_conceded_5,away_average_goal_difference_5,home_average_goals_scored_10,home_average_goals_conceded_10,home_average_goal_difference_10,away_average_goals_scored_10,away_average_goals_conceded_10,away_average_goal_difference_10,home_average_goals_scored_20,home_average_goals_conceded_20,home_average_goal_difference_20,away_average_goals_scored_20,away_average_goals_conceded_20,away_average_goal_difference_20
Kortrijk,St Truiden,D,10,7.0,10.0,10.0,7.0,0.8,1.4,-0.5999999999999999,1.0,2.8,-1.7999999999999998,1.0,1.6,-0.6000000000000001,1.1,2.1,-1.0,1.0,1.5,-0.5,1.15,1.9,-0.75
St. Gilloise,Anderlecht,D,8,14.0,7.0,7.0,14.0,1.4,1.0,0.3999999999999999,1.6,1.2,0.40000000000000013,1.7,0.9,0.7999999999999999,1.4,0.9,0.4999999999999999,1.65,1.05,0.5999999999999999,1.6,0.95,0.6500000000000001
Gent,Antwerp,D,10,6.0,14.0,14.0,6.0,1.4,0.8,0.5999999999999999,1.6,1.0,0.6000000000000001,2.0,1.0,1.0,1.4,1.5,-0.10000000000000009,2.3,1.05,1.2499999999999998,1.1,1.35,-0.25
Club Brugge,Cercle Brugge,H,12,17.0,10.0,10.0,17.0,1.2,1.2,0.0,1.2,1.4,-0.19999999999999996,1.4,0.9,0.4999999999999999,1.4,1.5,-0.10000000000000009,1.8,0.9,0.9,1.5,1.25,0.25
Oud-Heverlee Leuven,Standard,H,10,16.0,11.0,11.0,16.0,1.2,0.8,0.3999999999999999,0.4,0.2,0.2,1.2,1.1,0.09999999999999987,0.7,1.2,-0.5,1.05,1.1,-0.050000000000000044,1.25,1.5,-0.25
Beerschot VA,Dender,A,0,0.0,0.0,0.0,0.0,1.0,2.4,-1.4,2.0,1.4,0.6000000000000001,0.9,2.7,-1.8000000000000003,0.0,0.0,0.0,1.15,2.7,-1.5500000000000003,0.0,0.0,0.0
Mechelen,Charleroi,H,10,20.0,14.0,14.0,20.0,1.0,1.6,-0.6000000000000001,1.2,0.6,0.6,1.6,1.6,0.0,1.7,0.7,1.0,1.75,1.5,0.25,1.05,1.05,0.0
Genk,Westerlo,H,4,13.0,7.0,7.0,13.0,1.6,1.8,-0.19999999999999996,2.6,2.0,0.6000000000000001,1.1,2.0,-0.8999999999999999,2.0,1.9,0.10000000000000009,1.1,1.55,-0.44999999999999996,1.55,1.95,-0.3999999999999999
Charleroi,Kortrijk,H,11,16.0,10.0,10.0,16.0,1.6,0.8,0.8,1.0,1.8,-0.8,1.6,0.7,0.9000000000000001,1.1,1.6,-0.5,1.05,1.25,-0.19999999999999996,1.05,1.45,-0.3999999999999999
Standard,Beerschot VA,H,4,8.0,0.0,0.0,8.0,0.6,0.8,-0.20000000000000007,1.0,3.2,-2.2,0.9,1.5,-0.6,0.9,2.7,-1.8000000000000003,1.3,1.6,-0.30000000000000004,1.15,2.75,-1.6
St Truiden,St. Gilloise,D,6,5.0,11.0,11.0,5.0,1.0,3.2,-2.2,1.8,1.0,0.8,1.1,2.3,-1.1999999999999997,2.0,0.9,1.1,1.2,1.9,-0.7,1.75,1.15,0.6000000000000001
Dender,Club Brugge,A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,-0.19999999999999996,0.0,0.0,0.0,1.6,0.8,0.8,0.0,0.0,0.0,1.9,0.85,1.0499999999999998
Antwerp,Mechelen,A,10,16.0,13.0,13.0,16.0,2.2,1.0,1.2000000000000002,1.4,2.0,-0.6000000000000001,1.4,1.7,-0.30000000000000004,1.5,1.6,-0.10000000000000009,1.3,1.3,0.0,1.75,1.55,0.19999999999999996
Westerlo,Oud-Heverlee Leuven,D,6,6.0,9.0,9.0,6.0,2.8,2.0,0.7999999999999998,1.2,1.0,0.19999999999999996,2.2,2.1,0.10000000000000009,1.2,1.1,0.09999999999999987,1.5,2.05,-0.5499999999999998,1.0,1.1,-0.10000000000000009
Gent,Westerlo,H,6,16.0,9.0,9.0,16.0,1.0,0.6,0.4,2.6,1.6,1.0,1.8,0.9,0.9,2.3,2.0,0.2999999999999998,2.15,1.1,1.0499999999999998,1.65,1.95,-0.30000000000000004
Kortrijk,Standard,H,10,12.0,10.0,10.0,12.0,1.0,1.8,-0.8,0.8,1.4,-0.5999999999999999,1.1,1.6,-0.5,1.2,1.7,-0.5,1.0,1.55,-0.55,1.3,1.6,-0.30000000000000004
Oud-Heverlee Leuven,Cercle Brugge,D,8,10.0,14.0,14.0,10.0,1.2,1.0,0.19999999999999996,1.2,1.6,-0.40000000000000013,1.2,1.0,0.19999999999999996,1.3,1.5,-0.19999999999999996,1.1,1.05,0.050000000000000044,1.65,1.25,0.3999999999999999
Club Brugge,Antwerp,H,12,19.0,12.0,12.0,19.0,0.8,1.0,-0.19999999999999996,2.2,1.0,1.2000000000000002,1.7,0.9,0.7999999999999999,1.5,1.6,-0.10000000000000009,1.9,0.95,0.95,1.4,1.3,0.09999999999999987
Mechelen,Anderlecht,A,10,14.0,21.0,21.0,14.0,1.6,1.4,0.20000000000000018,1.0,1.2,-0.19999999999999996,1.5,1.6,-0.10000000000000009,1.2,1.0,0.19999999999999996,1.75,1.4,0.3500000000000001,1.5,0.9,0.6
St Truiden,Dender,D,0,0.0,0.0,0.0,0.0,0.6,2.8,-2.1999999999999997,0.0,0.0,0.0,0.8,2.1,-1.3,0.0,0.0,0.0,1.1,1.95,-0.8499999999999999,0.0,0.0,0.0
Beerschot VA,Genk,A,4,10.0,7.0,7.0,10.0,0.6,3.0,-2.4,0.8,1.6,-0.8,0.8,2.6,-1.8,0.7,2.1,-1.4000000000000001,1.0,2.6,-1.6,0.95,1.45,-0.5
St. Gilloise,Charleroi,H,6,15.0,2.0,2.0,15.0,2.0,1.2,0.8,2.2,0.8,1.4000000000000001,2.0,1.1,0.8999999999999999,1.6,1.1,0.5,1.75,1.15,0.6000000000000001,1.2,1.25,-0.050000000000000044
Cercle Brugge,Beerschot VA,H,4,6.0,2.0,2.0,6.0,0.8,1.6,-0.8,0.8,2.8,-1.9999999999999998,1.0,1.5,-0.5,0.7,2.4,-1.7,1.55,1.4,0.15000000000000013,0.95,2.45,-1.5000000000000002
Charleroi,Gent,H,10,11.0,18.0,18.0,11.0,2.4,1.0,1.4,1.8,0.6,1.2000000000000002,1.5,1.1,0.3999999999999999,2.1,0.9,1.2000000000000002,1.15,1.3,-0.15000000000000013,2.15,1.1,1.0499999999999998
Antwerp,St Truiden,H,10,15.0,7.0,7.0,15.0,1.2,1.2,0.0,0.8,1.8,-1.0,0.9,1.8,-0.9,1.0,1.8,-0.8,1.15,1.25,-0.10000000000000009,1.25,1.7,-0.44999999999999996
Genk,Club Brugge,H,12,14.0,29.0,29.0,14.0,0.4,1.2,-0.7999999999999999,0.8,0.8,0.0,0.6,2.0,-1.4,1.8,0.6,1.2000000000000002,0.8,1.4,-0.5999999999999999,1.95,0.95,1.0
Anderlecht,Oud-Heverlee Leuven,D,8,14.0,9.0,9.0,14.0,1.2,1.2,0.0,1.2,0.8,0.3999999999999999,1.3,1.0,0.30000000000000004,1.3,1.0,0.30000000000000004,1.55,0.95,0.6000000000000001,1.15,1.05,0.09999999999999987
Westerlo,St. Gilloise,H,4,8.0,8.0,8.0,8.0,2.2,1.4,0.8000000000000003,1.8,0.8,1.0,1.9,2.0,-0.10000000000000009,1.8,0.9,0.9,1.55,1.9,-0.34999999999999987,1.75,1.05,0.7
Dender,Kortrijk,H,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.3,-0.30000000000000004,0.0,0.0,0.0,0.95,1.5,-0.55
Standard,Mechelen,D,12,17.0,20.0,20.0,17.0,1.0,2.0,-1.0,1.8,1.8,0.0,1.2,1.7,-0.5,1.8,1.8,0.0,1.35,1.65,-0.2999999999999998,1.85,1.5,0.3500000000000001
Gent,Dender,A,0,0.0,0.0,0.0,0.0,1.6,0.4,1.2000000000000002,0.0,0.0,0.0,2.1,0.9,1.2000000000000002,0.0,0.0,0.0,2.15,1.2,0.95,0.0,0.0,0.0
Standard,Club Brugge,H,10,12.0,14.0,14.0,12.0,1.0,2.2,-1.2000000000000002,1.2,0.8,0.3999999999999999,1.2,2.2,-1.0000000000000002,2.1,0.6,1.5,1.3,1.7,-0.3999999999999999,2.15,0.95,1.2
Cercle Brugge,Kortrijk,A,10,14.0,9.0,9.0,14.0,1.4,1.4,0.0,1.0,1.6,-0.6000000000000001,1.2,1.5,-0.30000000000000004,1.1,1.4,-0.2999999999999998,1.55,1.35,0.19999999999999996,0.85,1.65,-0.7999999999999999
Antwerp,Anderlecht,A,12,10.0,12.0,12.0,10.0,1.2,1.2,0.0,0.8,1.0,-0.19999999999999996,0.8,1.7,-0.8999999999999999,1.2,1.2,0.0,1.1,1.2,-0.09999999999999987,1.55,1.0,0.55
St Truiden,Charleroi,A,10,9.0,9.0,9.0,9.0,1.0,1.4,-0.3999999999999999,1.8,0.8,1.0,1.2,1.6,-0.40000000000000013,1.2,1.0,0.19999999999999996,1.25,1.55,-0.30000000000000004,0.95,1.25,-0.30000000000000004
Oud-Heverlee Leuven,Genk,H,8,9.0,16.0,16.0,9.0,1.2,0.8,0.3999999999999999,0.4,1.0,-0.6,1.0,0.9,0.09999999999999998,0.6,1.8,-1.2000000000000002,1.0,1.0,0.0,0.8,1.35,-0.55
Mechelen,Westerlo,A,6,16.0,11.0,11.0,16.0,1.8,1.8,0.0,1.8,1.6,0.19999999999999996,1.8,1.7,0.10000000000000009,1.5,2.0,-0.5,1.9,1.35,0.5499999999999998,1.35,1.95,-0.5999999999999999
St. Gilloise,Beerschot VA,H,2,8.0,0.0,0.0,8.0,1.2,0.6,0.6,0.6,2.6,-2.0,1.7,1.1,0.5999999999999999,0.8,2.2,-1.4000000000000001,1.7,1.1,0.5999999999999999,0.9,2.4,-1.5
Westerlo,Cercle Brugge,H,4,8.0,4.0,4.0,8.0,1.4,1.8,-0.40000000000000013,1.6,1.0,0.6000000000000001,1.3,2.1,-0.8,1.3,1.3,0.0,1.35,1.95,-0.5999999999999999,1.6,1.25,0.3500000000000001
Charleroi,Antwerp,A,10,13.0,14.0,14.0,13.0,2.2,0.8,1.4000000000000001,1.2,2.0,-0.8,1.2,1.0,0.19999999999999996,0.7,1.8,-1.1,1.0,1.35,-0.3500000000000001,1.25,1.25,0.0
Kortrijk,Gent,A,10,9.0,18.0,18.0,9.0,1.2,1.8,-0.6000000000000001,2.2,0.8,1.4000000000000001,1.1,1.6,-0.5,2.3,0.9,1.4,0.9,1.7,-0.7999999999999999,2.2,1.3,0.9000000000000001
Genk,Standard,D,10,10.0,11.0,11.0,10.0,0.6,1.8,-1.2000000000000002,1.0,2.2,-1.2000000000000002,0.7,1.8,-1.1,1.6,2.2,-0.6000000000000001,0.85,1.4,-0.5499999999999999,1.35,1.75,-0.3999999999999999
Anderlecht,St Truiden,H,9,23.0,6.0,6.0,23.0,0.8,1.2,-0.3999999999999999,1.2,1.4,-0.19999999999999996,1.2,1.2,0.0,1.4,1.5,-0.10000000000000009,1.55,1.05,0.5,1.3,1.6,-0.30000000000000004
Beerschot VA,Oud-Heverlee Leuven,D,4,8.0,3.0,3.0,8.0,0.8,3.0,-2.2,1.2,1.4,-0.19999999999999996,1.0,2.5,-1.5,1.2,1.2,0.0,1.0,2.4,-1.4,1.05,1.05,0.0
Dender,St. Gilloise,D,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8,1.2,0.0,0.0,0.0,1.7,1.2,0.5,0.0,0.0,0.0,1.8,1.15,0.6500000000000001
Club Brugge,Mechelen,D,10,23.0,5.0,5.0,23.0,1.6,0.6,1.0,2.2,1.6,0.6000000000000001,2.1,0.6,1.5,2.0,1.8,0.19999999999999996,2.25,0.9,1.35,1.95,1.35,0.5999999999999999
Genk,Gent,A,10,11.0,17.0,17.0,11.0,0.6,2.2,-1.6,2.6,1.2,1.4000000000000001,0.8,1.7,-0.8999999999999999,2.7,1.0,1.7000000000000002,0.9,1.4,-0.4999999999999999,2.2,1.4,0.8000000000000003
Antwerp,Anderlecht,H,11,7.0,11.0,11.0,7.0,0.6,2.4,-1.7999999999999998,1.2,0.6,0.6,0.5,1.8,-1.3,1.1,1.0,0.10000000000000009,1.1,1.35,-0.25,1.6,0.9,0.7000000000000001
Club Brugge,Cercle Brugge,D,11,17.0,10.0,10.0,17.0,2.4,0.6,1.7999999999999998,1.6,1.6,0.0,2.2,0.8,1.4000000000000001,1.7,1.3,0.3999999999999999,2.3,0.95,1.3499999999999999,1.6,1.35,0.25
St. Gilloise,Genk,H,7,7.0,8.0,8.0,7.0,2.2,0.8,1.4000000000000001,0.6,2.6,-2.0,1.6,1.3,0.30000000000000004,0.9,1.6,-0.7000000000000001,1.75,1.2,0.55,1.05,1.3,-0.25
Gent,St Truiden,H,11,18.0,14.0,14.0,18.0,2.6,1.2,1.4000000000000001,1.2,1.4,-0.19999999999999996,3.0,1.0,2.0,1.6,1.4,0.20000000000000018,2.2,1.4,0.8000000000000003,1.35,1.55,-0.19999999999999996
Mechelen,Standard,H,11,17.0,15.0,15.0,17.0,1.6,1.2,0.40000000000000013,1.2,2.2,-1.0000000000000002,1.7,1.7,0.0,1.4,2.0,-0.6000000000000001,1.85,1.4,0.4500000000000002,1.25,1.75,-0.5
Oud-Heverlee Leuven,Westerlo,A,5,8.0,4.0,4.0,8.0,1.2,1.2,0.0,1.6,2.2,-0.6000000000000001,1.2,1.0,0.19999999999999996,1.2,2.3,-1.0999999999999999,1.15,0.95,0.19999999999999996,1.35,2.0,-0.6499999999999999
Genk,Antwerp,H,11,21.0,18.0,18.0,21.0,0.8,2.8,-1.9999999999999998,0.8,2.2,-1.4000000000000001,0.9,1.6,-0.7000000000000001,0.6,1.7,-1.1,1.05,1.4,-0.34999999999999987,1.2,1.4,-0.19999999999999996
Anderlecht,Club Brugge,A,11,12.0,18.0,18.0,12.0,1.4,0.8,0.5999999999999999,2.6,0.8,1.8,1.4,0.9,0.4999999999999999,2.4,0.9,1.5,1.7,0.9,0.7999999999999999,2.55,1.0,1.5499999999999998
Cercle Brugge,St. Gilloise,A,7,8.0,15.0,15.0,8.0,1.4,1.4,0.0,2.0,1.0,1.0,1.6,1.1,0.5,1.5,1.3,0.19999999999999996,1.7,1.25,0.44999999999999996,1.75,1.2,0.55
Standard,Gent,A,11,13.0,23.0,23.0,13.0,1.6,2.0,-0.3999999999999999,2.4,1.2,1.2,1.7,1.8,-0.10000000000000009,2.7,1.0,1.7000000000000002,1.2,1.55,-0.3500000000000001,2.2,1.35,0.8500000000000001
Westerlo,Mechelen,A,5,11.0,14.0,14.0,11.0,2.0,2.4,-0.3999999999999999,1.4,1.8,-0.40000000000000013,1.2,2.2,-1.0000000000000002,1.8,1.8,0.0,1.45,1.9,-0.44999999999999996,1.9,1.4,0.5
St Truiden,Oud-Heverlee Leuven,D,9,10.0,14.0,14.0,10.0,1.0,1.4,-0.3999999999999999,1.2,1.0,0.19999999999999996,1.5,1.4,0.10000000000000009,1.2,1.2,0.0,1.35,1.5,-0.1499999999999999,1.1,1.1,0.0
Club Brugge,St. Gilloise,D,7,8.0,7.0,7.0,8.0,2.8,0.4,2.4,1.8,1.0,0.8,2.5,0.7,1.8,1.5,1.1,0.3999999999999999,2.55,0.9,1.65,1.7,1.1,0.5999999999999999
Antwerp,Cercle Brugge,A,11,18.0,7.0,7.0,18.0,0.6,2.4,-1.7999999999999998,1.2,1.4,-0.19999999999999996,0.8,1.5,-0.7,1.6,1.3,0.30000000000000004,1.2,1.35,-0.15000000000000013,1.7,1.25,0.44999999999999996
St Truiden,Mechelen,H,11,16.0,12.0,12.0,16.0,1.2,1.8,-0.6000000000000001,1.8,1.8,0.0,1.3,1.6,-0.30000000000000004,2.0,1.8,0.19999999999999996,1.25,1.6,-0.3500000000000001,1.85,1.35,0.5
Gent,Oud-Heverlee Leuven,A,9,20.0,7.0,7.0,20.0,2.6,1.4,1.2000000000000002,1.4,1.2,0.19999999999999996,2.9,1.3,1.5999999999999999,1.1,1.4,-0.2999999999999998,2.2,1.4,0.8000000000000003,1.1,1.2,-0.09999999999999987
Anderlecht,Genk,H,11,13.0,14.0,14.0,13.0,1.4,0.8,0.5999999999999999,0.8,2.6,-1.8,1.3,0.8,0.5,0.8,1.7,-0.8999999999999999,1.65,0.9,0.7499999999999999,1.2,1.3,-0.10000000000000009
Charleroi,Kortrijk,H,10,13.0,9.0,9.0,13.0,1.6,0.6,1.0,1.2,1.4,-0.19999999999999996,0.9,0.9,0.0,1.1,1.6,-0.5,0.85,1.3,-0.45000000000000007,0.9,1.6,-0.7000000000000001
Eupen,RWD Molenbeek,H,3,3.0,6.0,6.0,3.0,0.6,1.6,-1.0,1.6,1.4,0.20000000000000018,0.4,1.7,-1.2999999999999998,1.2,2.1,-0.9000000000000001,0.45,1.7,-1.25,1.05,2.35,-1.3
Kortrijk,Eupen,H,11,10.0,13.0,13.0,10.0,1.2,1.4,-0.19999999999999996,0.6,2.2,-1.6,1.0,1.7,-0.7,0.4,2.0,-1.6,0.85,1.75,-0.9,0.45,1.75,-1.3
St. Gilloise,Anderlecht,D,7,14.0,7.0,7.0,14.0,2.2,1.6,0.6000000000000001,1.6,1.4,0.20000000000000018,1.7,1.2,0.5,1.5,0.9,0.6,1.85,1.15,0.7000000000000002,1.75,1.0,0.75
Oud-Heverlee Leuven,Standard,H,9,13.0,10.0,10.0,13.0,0.8,1.0,-0.19999999999999996,1.4,1.4,0.0,0.9,1.4,-0.4999999999999999,1.7,1.7,0.0,1.0,1.2,-0.19999999999999996,1.25,1.5,-0.25
Antwerp,Club Brugge,A,11,11.0,17.0,17.0,11.0,0.4,2.2,-1.8000000000000003,3.0,0.4,2.6,0.9,1.5,-0.6,2.4,0.8,1.5999999999999999,1.3,1.3,0.0,2.45,0.85,1.6
Cercle Brugge,Genk,H,11,9.0,19.0,19.0,9.0,1.0,1.6,-0.6000000000000001,0.8,1.8,-1.0,1.4,1.2,0.19999999999999996,0.8,1.3,-0.5,1.55,1.35,0.19999999999999996,1.3,1.15,0.15000000000000013
Mechelen,Gent,A,11,9.0,22.0,22.0,9.0,1.8,1.6,0.19999999999999996,2.4,1.0,1.4,2.1,1.4,0.7000000000000002,2.7,1.3,1.4000000000000001,1.75,1.15,0.6000000000000001,2.2,1.3,0.9000000000000001
RWD Molenbeek,Charleroi,A,3,1.0,2.0,2.0,1.0,1.4,1.6,-0.20000000000000018,1.0,1.4,-0.3999999999999999,1.1,2.2,-1.1,0.7,1.1,-0.40000000000000013,1.05,2.3,-1.2499999999999998,0.85,1.35,-0.5000000000000001
Westerlo,St Truiden,D,5,6.0,9.0,9.0,6.0,1.6,2.6,-1.0,1.4,1.8,-0.40000000000000013,1.0,2.1,-1.1,1.2,1.4,-0.19999999999999996,1.45,1.85,-0.40000000000000013,1.2,1.55,-0.3500000000000001
RWD Molenbeek,Kortrijk,A,3,7.0,6.0,6.0,7.0,1.4,2.0,-0.6000000000000001,1.0,1.6,-0.6000000000000001,1.3,2.3,-0.9999999999999998,1.0,1.7,-0.7,1.2,2.3,-1.0999999999999999,0.8,1.9,-1.0999999999999999
St. Gilloise,Antwerp,H,7,13.0,9.0,9.0,13.0,1.4,1.6,-0.20000000000000018,0.2,1.6,-1.4000000000000001,1.6,1.2,0.40000000000000013,0.8,1.2,-0.3999999999999999,1.75,1.15,0.6000000000000001,1.3,1.1,0.19999999999999996
Cercle Brugge,Anderlecht,D,11,6.0,18.0,18.0,6.0,1.0,1.6,-0.6000000000000001,1.6,1.2,0.40000000000000013,1.4,1.2,0.19999999999999996,1.8,0.9,0.9,1.55,1.4,0.15000000000000013,1.85,1.0,0.8500000000000001
Genk,Club Brugge,A,11,14.0,26.0,26.0,14.0,1.0,1.2,-0.19999999999999996,2.6,0.6,2.0,1.1,1.1,0.0,2.2,0.9,1.3000000000000003,1.4,1.1,0.2999999999999998,2.4,0.85,1.5499999999999998
Gent,Westerlo,H,5,13.0,7.0,7.0,13.0,2.8,0.8,1.9999999999999998,1.2,2.4,-1.2,2.6,1.1,1.5,1.0,1.9,-0.8999999999999999,2.15,1.3,0.8499999999999999,1.4,1.85,-0.4500000000000002
Standard,St Truiden,D,11,10.0,18.0,18.0,10.0,1.4,2.2,-0.8000000000000003,1.6,1.6,0.0,1.7,1.8,-0.10000000000000009,1.2,1.7,-0.5,1.2,1.55,-0.3500000000000001,1.25,1.5,-0.25
Mechelen,Oud-Heverlee Leuven,H,9,11.0,17.0,17.0,11.0,1.8,2.0,-0.19999999999999996,1.2,1.0,0.19999999999999996,1.9,1.4,0.5,0.9,1.1,-0.20000000000000007,1.6,1.25,0.3500000000000001,1.0,1.1,-0.10000000000000009
Eupen,Charleroi,A,11,11.0,19.0,19.0,11.0,0.6,1.8,-1.2000000000000002,0.6,1.2,-0.6,0.3,1.9,-1.5999999999999999,0.5,1.1,-0.6000000000000001,0.45,1.8,-1.35,0.75,1.35,-0.6000000000000001
Antwerp,St. Gilloise,A,6,9.0,10.0,10.0,9.0,0.4,1.2,-0.7999999999999999,1.0,1.8,-0.8,1.2,0.9,0.29999999999999993,1.5,1.4,0.10000000000000009,1.35,1.0,0.3500000000000001,1.65,1.2,0.44999999999999996
Anderlecht,Cercle Brugge,H,10,15.0,6.0,6.0,15.0,1.0,1.4,-0.3999999999999999,1.8,1.0,0.8,1.8,1.0,0.8,1.6,1.0,0.6000000000000001,1.8,1.05,0.75,1.65,1.25,0.3999999999999999
Club Brugge,Genk,H,10,22.0,14.0,14.0,22.0,2.0,1.0,1.0,1.2,0.6,0.6,2.2,0.9,1.3000000000000003,1.2,0.8,0.3999999999999999,2.25,0.85,1.4,1.4,0.95,0.44999999999999996
St Truiden,Gent,A,10,14.0,16.0,16.0,14.0,2.0,1.4,0.6000000000000001,3.4,0.8,2.5999999999999996,1.3,1.5,-0.19999999999999996,2.5,1.3,1.2,1.3,1.45,-0.1499999999999999,2.1,1.35,0.75
Standard,Mechelen,D,10,15.0,17.0,17.0,15.0,2.2,2.2,0.0,1.8,2.2,-0.40000000000000013,1.8,1.8,0.0,2.0,1.5,0.5,1.25,1.55,-0.30000000000000004,1.75,1.25,0.5
Westerlo,Oud-Heverlee Leuven,D,4,3.0,7.0,7.0,3.0,1.2,2.4,-1.2,1.2,0.8,0.3999999999999999,1.1,2.0,-0.8999999999999999,0.8,1.1,-0.30000000000000004,1.45,1.95,-0.5,0.95,1.1,-0.15000000000000013
Charleroi,Eupen,H,10,18.0,11.0,11.0,18.0,0.6,1.2,-0.6,0.6,1.8,-1.2000000000000002,0.5,1.1,-0.6000000000000001,0.3,1.9,-1.5999999999999999,0.75,1.5,-0.75,0.5,1.8,-1.3
St. Gilloise,Club Brugge,A,6,6.0,6.0,6.0,6.0,1.0,1.6,-0.6000000000000001,2.2,1.0,1.2000000000000002,1.5,1.2,0.30000000000000004,2.1,1.0,1.1,1.75,1.1,0.6499999999999999,2.15,0.8,1.3499999999999999
Kortrijk,RWD Molenbeek,A,2,4.0,3.0,3.0,4.0,1.2,1.2,0.0,1.0,2.2,-1.2000000000000002,1.1,1.6,-0.5,1.1,2.4,-1.2999999999999998,0.75,1.75,-1.0,1.05,2.25,-1.2
Cercle Brugge,Antwerp,A,10,7.0,17.0,17.0,7.0,1.8,0.8,1.0,0.4,1.2,-0.7999999999999999,2.0,1.0,1.0,1.3,1.0,0.30000000000000004,1.65,1.2,0.44999999999999996,1.6,1.0,0.6000000000000001
Genk,Anderlecht,H,10,12.0,12.0,12.0,12.0,1.0,0.4,0.6,1.4,1.0,0.3999999999999999,1.0,0.8,0.19999999999999996,1.8,0.8,1.0,1.45,0.95,0.5,1.8,1.0,0.8
Gent,Mechelen,H,10,19.0,8.0,8.0,19.0,3.0,0.8,2.2,2.2,1.8,0.40000000000000013,2.2,1.3,0.9000000000000001,2.0,1.2,0.8,2.0,1.35,0.6499999999999999,1.75,1.1,0.6499999999999999
Westerlo,Standard,D,4,6.0,5.0,5.0,6.0,0.8,2.4,-1.5999999999999999,1.6,1.8,-0.19999999999999996,0.8,2.0,-1.2,1.7,1.7,0.0,1.45,1.95,-0.5,1.1,1.7,-0.5999999999999999
Oud-Heverlee Leuven,St Truiden,H,8,13.0,10.0,10.0,13.0,1.2,1.4,-0.19999999999999996,2.0,1.4,0.6000000000000001,1.0,1.1,-0.10000000000000009,1.4,1.8,-0.40000000000000013,0.95,1.25,-0.30000000000000004,1.45,1.55,-0.10000000000000009
Oud-Heverlee Leuven,Gent,H,8,5.0,19.0,19.0,5.0,0.8,1.6,-0.8,3.2,1.2,2.0,1.0,1.1,-0.10000000000000009,2.2,1.5,0.7000000000000002,0.85,1.3,-0.45000000000000007,2.1,1.3,0.8
Anderlecht,St. Gilloise,H,6,5.0,13.0,13.0,5.0,1.2,0.8,0.3999999999999999,1.2,1.2,0.0,1.8,0.9,0.9,1.7,1.2,0.5,1.85,0.95,0.9000000000000001,1.8,1.05,0.75
Kortrijk,Charleroi,A,9,8.0,11.0,11.0,8.0,1.0,1.4,-0.3999999999999999,0.2,1.2,-1.0,1.0,1.4,-0.3999999999999999,0.4,1.4,-0.9999999999999999,0.7,1.8,-1.1,0.65,1.55,-0.9
Club Brugge,Antwerp,H,10,14.0,11.0,11.0,14.0,2.2,1.0,1.2000000000000002,1.0,0.6,0.4,2.1,1.3,0.8,1.4,0.7,0.7,2.05,0.9,1.15,1.75,0.95,0.8
Genk,Cercle Brugge,D,10,18.0,8.0,8.0,18.0,0.8,0.8,0.0,2.0,1.2,0.8,1.0,0.9,0.09999999999999998,2.1,1.3,0.8,1.5,1.05,0.44999999999999996,1.6,1.3,0.30000000000000004
Mechelen,Westerlo,H,4,11.0,9.0,9.0,11.0,2.2,1.8,0.40000000000000013,0.4,2.0,-1.6,1.9,1.2,0.7,1.0,1.9,-0.8999999999999999,1.65,1.05,0.5999999999999999,1.45,1.8,-0.3500000000000001
RWD Molenbeek,Eupen,H,2,3.0,2.0,2.0,3.0,0.6,2.2,-1.6,0.4,1.6,-1.2000000000000002,0.9,2.6,-1.7000000000000002,0.3,1.6,-1.3,0.95,2.3,-1.3499999999999999,0.55,1.65,-1.0999999999999999
St Truiden,Standard,D,10,15.0,7.0,7.0,15.0,1.4,1.4,0.0,1.8,1.6,0.19999999999999996,1.5,1.6,-0.10000000000000009,1.4,1.5,-0.10000000000000009,1.35,1.45,-0.09999999999999987,1.0,1.6,-0.6000000000000001
Westerlo,Gent,A,4,7.0,10.0,10.0,7.0,0.4,1.6,-1.2000000000000002,3.0,1.6,1.4,1.2,1.8,-0.6000000000000001,2.1,1.7,0.40000000000000013,1.5,1.8,-0.30000000000000004,2.1,1.35,0.75
Club Brugge,Anderlecht,H,10,15.0,11.0,11.0,15.0,1.8,1.2,0.6000000000000001,1.4,0.4,0.9999999999999999,2.2,1.3,0.9000000000000001,1.9,0.8,1.0999999999999999,2.0,0.9,1.1,2.05,0.85,1.1999999999999997
Eupen,Kortrijk,D,10,12.0,9.0,9.0,12.0,0.2,1.8,-1.6,1.0,1.8,-0.8,0.3,1.5,-1.2,1.0,1.3,-0.30000000000000004,0.55,1.8,-1.25,0.7,1.75,-1.05
St. Gilloise,Cercle Brugge,A,6,13.0,5.0,5.0,13.0,1.2,0.8,0.3999999999999999,1.8,0.8,1.0,1.7,1.1,0.5999999999999999,1.9,1.2,0.7,1.85,0.95,0.9000000000000001,1.55,1.2,0.3500000000000001
