HomeTeam,AwayTeam,FTR,head_to_head_games,head_to_head_goals_scored_home_team,head_to_head_goals_conceded_home_team,head_to_head_goals_scored_away_team,head_to_head_goals_conceded_away_team,home_average_goals_scored_5,home_average_goals_conceded_5,home_average_goal_difference_5,away_average_goals_scored_5,away_average_goals_conceded_5,away_average_goal_difference_5,home_average_goals_scored_10,home_average_goals_conceded_10,home_average_goal_difference_10,away_average_goals_scored_10,away_average_goals_conceded_10,away_average_goal_difference_10,home_average_goals_scored_20,home_average_goals_conceded_20,home_average_goal_difference_20,away_average_goals_scored_20,away_average_goals_conceded_20,away_average_goal_difference_20
Genk,Club Brugge,H,7,10.0,17.0,17.0,10.0,2.4,0.8,1.5999999999999999,1.8,1.8,0.0,2.4,0.7,1.7,1.6,1.4,0.20000000000000018,2.6,0.8,1.8,2.0,1.1,0.8999999999999999
Antwerp,Gent,H,7,10.0,4.0,4.0,10.0,1.2,1.8,-0.6000000000000001,1.8,0.4,1.4,1.4,1.5,-0.10000000000000009,1.9,0.9,0.9999999999999999,1.75,1.05,0.7,1.95,1.0,0.95
Cercle Brugge,Westerlo,A,1,0.0,2.0,2.0,0.0,1.8,0.8,1.0,2.8,1.4,1.4,2.2,1.2,1.0000000000000002,2.4,1.7,0.7,1.4,1.4,0.0,0.0,0.0,0.0
Oostende,Seraing,A,3,6.0,5.0,5.0,6.0,1.4,3.0,-1.6,0.6,2.4,-1.7999999999999998,1.2,2.9,-1.7,0.9,1.8,-0.9,1.2,2.1,-0.9000000000000001,0.9,1.9,-0.9999999999999999
Eupen,Charleroi,A,7,8.0,15.0,15.0,8.0,2.2,2.2,0.0,0.6,2.8,-2.1999999999999997,1.8,2.4,-0.5999999999999999,0.9,2.2,-1.3000000000000003,1.25,2.25,-1.0,1.25,1.95,-0.7
Standard,St Truiden,D,7,5.0,12.0,12.0,5.0,2.0,1.0,1.0,1.4,0.8,0.5999999999999999,1.7,0.9,0.7999999999999999,1.2,1.1,0.09999999999999987,1.5,1.4,0.10000000000000009,1.2,0.95,0.25
St Truiden,Waregem,H,7,10.0,10.0,10.0,10.0,1.0,1.4,-0.3999999999999999,2.2,2.8,-0.5999999999999996,1.1,1.3,-0.19999999999999996,1.6,2.7,-1.1,1.25,1.05,0.19999999999999996,1.15,2.3,-1.15
Westerlo,Antwerp,D,1,0.0,3.0,3.0,0.0,2.4,2.0,0.3999999999999999,1.2,1.2,0.0,2.3,1.5,0.7999999999999998,1.3,1.2,0.10000000000000009,0.0,0.0,0.0,1.65,0.9,0.7499999999999999
Charleroi,Anderlecht,A,7,4.0,12.0,12.0,4.0,1.0,3.0,-2.0,1.2,2.4,-1.2,1.1,2.4,-1.2999999999999998,1.4,1.8,-0.40000000000000013,1.5,1.9,-0.3999999999999999,1.6,1.4,0.20000000000000018
Kortrijk,Genk,H,7,5.0,12.0,12.0,5.0,0.8,2.4,-1.5999999999999999,3.6,0.8,2.8,1.0,2.6,-1.6,2.6,0.7,1.9000000000000001,0.9,2.0,-1.1,2.65,0.9,1.75
St. Gilloise,Oostende,H,3,14.0,3.0,3.0,14.0,2.0,1.2,0.8,1.4,3.0,-1.6,2.4,1.1,1.2999999999999998,1.3,2.6,-1.3,2.2,1.2,1.0000000000000002,1.25,2.0,-0.75
Club Brugge,Oud-Heverlee Leuven,D,5,12.0,4.0,4.0,12.0,2.2,1.6,0.6000000000000001,1.8,1.4,0.40000000000000013,1.7,1.3,0.3999999999999999,1.7,1.5,0.19999999999999996,2.1,1.1,1.0,1.55,1.65,-0.09999999999999987
Gent,Standard,D,7,13.0,7.0,7.0,13.0,1.8,0.8,1.0,2.0,1.4,0.6000000000000001,2.1,0.9,1.2000000000000002,1.9,1.0,0.8999999999999999,2.0,1.0,1.0,1.55,1.4,0.15000000000000013
Mechelen,Cercle Brugge,D,7,11.0,12.0,12.0,11.0,2.4,1.2,1.2,1.8,0.6,1.2000000000000002,1.7,1.6,0.09999999999999987,2.1,1.3,0.8,1.65,1.75,-0.10000000000000009,1.35,1.6,-0.25
Seraing,Eupen,A,3,5.0,2.0,2.0,5.0,0.6,2.4,-1.7999999999999998,2.8,2.6,0.19999999999999973,0.9,1.9,-0.9999999999999999,1.7,2.5,-0.8,0.95,1.9,-0.95,1.25,2.3,-1.0499999999999998
Kortrijk,Gent,A,6,6.0,7.0,7.0,6.0,1.0,2.2,-1.2000000000000002,1.6,0.8,0.8,1.1,2.2,-1.1,1.8,1.1,0.7,0.9,1.9,-0.9999999999999999,1.9,1.0,0.8999999999999999
Anderlecht,Genk,A,6,7.0,3.0,3.0,7.0,1.2,2.2,-1.0000000000000002,3.4,0.8,2.5999999999999996,1.6,1.8,-0.19999999999999996,2.4,0.7,1.7,1.7,1.35,0.34999999999999987,2.55,0.95,1.5999999999999999
Standard,St. Gilloise,A,2,1.0,7.0,7.0,1.0,2.2,0.8,1.4000000000000001,2.6,1.0,1.6,1.8,0.7,1.1,2.4,1.0,1.4,1.45,1.3,0.1499999999999999,2.25,1.15,1.1
Club Brugge,Antwerp,D,6,9.0,6.0,6.0,9.0,2.0,1.2,0.8,0.8,1.4,-0.5999999999999999,1.9,1.1,0.7999999999999998,1.4,1.0,0.3999999999999999,2.15,1.05,1.0999999999999999,1.6,0.9,0.7000000000000001
Charleroi,Mechelen,A,6,9.0,11.0,11.0,9.0,1.2,2.4,-1.2,1.4,1.8,-0.40000000000000013,1.3,2.0,-0.7,1.4,1.9,-0.5,1.6,1.75,-0.1499999999999999,1.5,1.85,-0.3500000000000001
St Truiden,Cercle Brugge,A,6,6.0,8.0,8.0,6.0,1.4,1.4,0.0,2.6,0.8,1.8,1.1,1.2,-0.09999999999999987,2.0,1.7,0.30000000000000004,1.3,1.0,0.30000000000000004,1.4,1.6,-0.20000000000000018
Waregem,Eupen,D,6,11.0,5.0,5.0,11.0,1.8,2.0,-0.19999999999999996,2.0,2.6,-0.6000000000000001,1.2,2.5,-1.3,1.2,2.1,-0.9000000000000001,1.05,2.05,-0.9999999999999998,1.0,2.2,-1.2000000000000002
Westerlo,Oostende,H,0,0.0,0.0,0.0,0.0,1.6,2.4,-0.7999999999999998,1.6,3.0,-1.4,1.7,1.8,-0.10000000000000009,1.3,2.1,-0.8,0.0,0.0,0.0,1.3,1.85,-0.55
Oud-Heverlee Leuven,Seraing,H,2,2.0,4.0,4.0,2.0,0.8,1.6,-0.8,1.0,1.8,-0.8,1.4,1.7,-0.30000000000000004,1.2,1.6,-0.40000000000000013,1.35,1.85,-0.5,1.0,1.65,-0.6499999999999999
Oostende,Kortrijk,H,6,5.0,12.0,12.0,5.0,1.2,3.0,-1.8,1.0,2.0,-1.0,1.1,2.2,-1.1,1.0,2.0,-1.0,1.15,1.95,-0.8,0.95,1.9,-0.95
Antwerp,Anderlecht,D,6,6.0,8.0,8.0,6.0,1.2,1.4,-0.19999999999999996,1.8,2.4,-0.5999999999999999,1.8,1.2,0.6000000000000001,1.6,1.9,-0.2999999999999998,1.7,0.95,0.75,1.85,1.35,0.5
St. Gilloise,Westerlo,D,0,0.0,0.0,0.0,0.0,2.8,1.0,1.7999999999999998,1.8,2.2,-0.40000000000000013,2.5,1.3,1.2,1.6,1.8,-0.19999999999999996,2.35,1.2,1.1500000000000001,0.0,0.0,0.0
Gent,Club Brugge,H,6,10.0,11.0,11.0,10.0,2.0,0.8,1.2,2.0,1.2,0.8,1.7,1.1,0.5999999999999999,2.2,1.0,1.2000000000000002,1.9,1.05,0.8499999999999999,2.4,0.95,1.45
Eupen,Standard,H,6,3.0,14.0,14.0,3.0,1.6,3.4,-1.7999999999999998,2.4,0.4,2.0,1.1,2.1,-1.0,1.9,0.5,1.4,1.05,2.25,-1.2,1.45,1.2,0.25
Cercle Brugge,Oud-Heverlee Leuven,H,4,7.0,6.0,6.0,7.0,2.4,1.0,1.4,1.6,1.6,0.0,1.9,1.7,0.19999999999999996,1.5,1.6,-0.10000000000000009,1.4,1.65,-0.25,1.35,1.9,-0.5499999999999998
Seraing,St Truiden,A,2,3.0,3.0,3.0,3.0,1.0,1.6,-0.6000000000000001,1.0,1.6,-0.6000000000000001,1.1,1.8,-0.7,1.2,1.2,0.0,0.95,1.8,-0.8500000000000001,1.25,1.0,0.25
Mechelen,Waregem,D,6,12.0,10.0,10.0,12.0,1.2,2.0,-0.8,1.8,2.6,-0.8,1.3,2.0,-0.7,1.1,2.4,-1.2999999999999998,1.45,1.8,-0.3500000000000001,1.0,2.05,-1.0499999999999998
Genk,Charleroi,H,6,10.0,8.0,8.0,10.0,3.0,0.8,2.2,1.0,1.8,-0.8,2.4,0.6,1.7999999999999998,1.3,1.9,-0.5999999999999999,2.45,1.0,1.4500000000000002,1.55,1.55,0.0
Charleroi,Antwerp,H,6,7.0,8.0,8.0,7.0,1.0,1.8,-0.8,1.4,1.6,-0.20000000000000018,1.5,2.0,-0.5,2.0,1.2,0.8,1.65,1.65,0.0,1.75,1.1,0.6499999999999999
Oud-Heverlee Leuven,Gent,D,4,3.0,11.0,11.0,3.0,1.4,2.0,-0.6000000000000001,2.4,1.4,1.0,1.7,1.6,0.09999999999999987,1.7,1.2,0.5,1.3,1.85,-0.55,1.9,1.0,0.8999999999999999
Seraing,St. Gilloise,A,2,2.0,8.0,8.0,2.0,1.2,1.2,0.0,3.0,0.8,2.2,1.3,1.7,-0.3999999999999999,2.5,1.3,1.2,0.9,1.75,-0.85,2.25,1.15,1.1
Anderlecht,Eupen,H,6,12.0,6.0,6.0,12.0,1.0,2.2,-1.2000000000000002,1.4,2.6,-1.2000000000000002,1.3,1.9,-0.5999999999999999,1.0,2.0,-1.0,1.65,1.25,0.3999999999999999,0.95,2.05,-1.0999999999999999
Club Brugge,Oostende,H,6,15.0,3.0,3.0,15.0,1.8,0.8,1.0,1.0,2.6,-1.6,2.0,0.9,1.1,0.9,1.9,-0.9999999999999999,2.4,0.9,1.5,1.05,1.75,-0.7
Kortrijk,Cercle Brugge,D,6,6.0,7.0,7.0,6.0,1.2,2.0,-0.8,3.0,1.4,1.6,1.0,2.1,-1.1,1.9,1.8,0.09999999999999987,0.9,1.95,-1.0499999999999998,1.45,1.7,-0.25
Westerlo,St Truiden,A,0,0.0,0.0,0.0,0.0,1.8,1.6,0.19999999999999996,0.4,1.4,-0.9999999999999999,1.8,2.0,-0.19999999999999996,1.0,1.0,0.0,0.0,0.0,0.0,1.1,0.9,0.20000000000000007
Waregem,Standard,A,5,7.0,10.0,10.0,7.0,1.8,2.4,-0.5999999999999999,1.8,0.8,1.0,1.2,2.4,-1.2,1.7,0.8,0.8999999999999999,1.05,1.9,-0.8499999999999999,1.35,1.2,0.15000000000000013
Genk,Mechelen,H,5,9.0,6.0,6.0,9.0,2.8,0.8,1.9999999999999998,1.0,2.0,-1.0,2.3,0.6,1.6999999999999997,1.7,2.1,-0.40000000000000013,2.4,0.95,1.45,1.5,1.75,-0.25
Oostende,Waregem,H,6,5.0,7.0,7.0,5.0,1.0,2.8,-1.7999999999999998,1.6,2.6,-1.0,0.8,2.1,-1.3,1.2,2.6,-1.4000000000000001,1.0,1.7,-0.7,1.0,2.05,-1.0499999999999998
Standard,Anderlecht,H,6,3.0,7.0,7.0,3.0,1.4,0.8,0.5999999999999999,1.8,1.4,0.40000000000000013,1.4,1.2,0.19999999999999996,1.6,1.4,0.20000000000000018,1.1,1.25,-0.1499999999999999,1.75,1.0,0.75
Gent,Seraing,H,2,4.0,0.0,0.0,4.0,2.0,1.4,0.6000000000000001,1.2,1.2,0.0,1.8,1.2,0.6000000000000001,1.2,1.6,-0.40000000000000013,2.0,0.95,1.05,0.85,1.85,-1.0
Antwerp,Genk,A,6,13.0,12.0,12.0,13.0,1.6,1.2,0.40000000000000013,2.4,0.6,1.7999999999999998,2.0,0.9,1.1,2.4,0.6,1.7999999999999998,1.75,1.05,0.7,2.25,1.0,1.25
St. Gilloise,Club Brugge,D,2,0.0,1.0,1.0,0.0,3.0,0.6,2.4,1.4,1.0,0.3999999999999999,2.5,1.2,1.3,2.1,0.7,1.4000000000000001,2.3,1.05,1.2499999999999998,2.45,0.85,1.6
Mechelen,Eupen,H,6,9.0,6.0,6.0,9.0,0.6,1.8,-1.2000000000000002,1.4,2.6,-1.2000000000000002,1.5,2.0,-0.5,0.9,1.9,-0.9999999999999999,1.5,1.75,-0.25,0.95,2.1,-1.1500000000000001
St Truiden,Oud-Heverlee Leuven,D,4,8.0,7.0,7.0,8.0,1.0,1.4,-0.3999999999999999,1.4,2.0,-0.6000000000000001,1.0,1.3,-0.30000000000000004,1.7,1.9,-0.19999999999999996,1.2,0.9,0.29999999999999993,1.3,1.95,-0.6499999999999999
Kortrijk,Westerlo,A,0,0.0,0.0,0.0,0.0,1.4,2.4,-1.0,2.0,2.0,0.0,1.1,2.1,-1.0,2.0,2.2,-0.20000000000000018,1.15,1.85,-0.7000000000000002,0.0,0.0,0.0
Cercle Brugge,Charleroi,H,6,4.0,20.0,20.0,4.0,2.6,1.6,1.0,1.2,1.6,-0.40000000000000013,1.5,1.7,-0.19999999999999996,1.5,1.6,-0.10000000000000009,1.35,1.65,-0.2999999999999998,1.6,1.6,0.0
Waregem,Anderlecht,H,6,7.0,20.0,20.0,7.0,1.0,2.6,-1.6,1.6,1.2,0.40000000000000013,1.0,2.5,-1.5,1.7,1.2,0.5,0.9,2.05,-1.15,1.75,0.9,0.85
Antwerp,Oostende,H,6,11.0,6.0,6.0,11.0,1.4,1.2,0.19999999999999996,1.2,2.2,-1.0000000000000002,2.1,1.1,1.0,1.1,1.9,-0.7999999999999998,1.65,1.05,0.5999999999999999,1.0,1.7,-0.7
Club Brugge,St Truiden,H,6,15.0,3.0,3.0,15.0,1.2,1.0,0.19999999999999996,1.2,1.2,0.0,1.9,0.8,1.0999999999999999,1.0,1.0,0.0,2.4,0.85,1.5499999999999998,1.25,0.75,0.5
Mechelen,Standard,H,6,11.0,12.0,12.0,11.0,1.0,2.0,-1.0,1.8,0.6,1.2000000000000002,1.6,2.0,-0.3999999999999999,1.6,1.0,0.6000000000000001,1.45,1.95,-0.5,1.1,1.2,-0.09999999999999987
St. Gilloise,Gent,H,2,2.0,0.0,0.0,2.0,2.8,1.0,1.7999999999999998,2.4,1.0,1.4,2.3,1.5,0.7999999999999998,2.0,1.1,0.8999999999999999,2.2,1.1,1.1,2.05,0.85,1.1999999999999997
Genk,Westerlo,H,0,0.0,0.0,0.0,0.0,1.6,0.6,1.0,2.2,1.0,1.2000000000000002,2.2,0.7,1.5000000000000002,2.0,1.8,0.19999999999999996,2.15,1.0,1.15,0.0,0.0,0.0
Seraing,Cercle Brugge,A,2,2.0,3.0,3.0,2.0,1.2,1.4,-0.19999999999999996,2.4,2.0,0.3999999999999999,1.3,1.8,-0.5,1.4,1.9,-0.5,0.85,1.85,-1.0,1.4,1.8,-0.40000000000000013
Charleroi,Kortrijk,D,5,7.0,5.0,5.0,7.0,1.2,1.8,-0.6000000000000001,1.2,2.8,-1.5999999999999999,1.4,1.7,-0.30000000000000004,0.9,1.9,-0.9999999999999999,1.5,1.6,-0.10000000000000009,1.1,1.85,-0.75
Eupen,Oud-Heverlee Leuven,H,4,11.0,6.0,6.0,11.0,0.6,2.4,-1.7999999999999998,1.6,1.6,0.0,0.7,2.1,-1.4000000000000001,1.7,1.9,-0.19999999999999996,0.75,2.05,-1.2999999999999998,1.35,1.85,-0.5
Oostende,St. Gilloise,A,2,2.0,8.0,8.0,2.0,1.0,1.2,-0.19999999999999996,2.2,1.0,1.2000000000000002,1.2,1.4,-0.19999999999999996,1.8,1.4,0.40000000000000013,0.95,1.4,-0.44999999999999996,2.0,1.05,0.95
Anderlecht,Club Brugge,A,6,7.0,11.0,11.0,7.0,2.0,1.4,0.6000000000000001,1.8,1.0,0.8,1.7,1.2,0.5,1.9,1.0,0.8999999999999999,1.95,0.9,1.0499999999999998,2.4,0.95,1.45
