iter	Logloss
0	0.6916399779
1	0.6900359069
2	0.6881367424
3	0.6862790175
4	0.6851196113
5	0.6837945775
6	0.6821216478
7	0.6805079366
8	0.6790831905
9	0.6776750107
10	0.6765221023
11	0.675062111
12	0.6734262011
13	0.6719246574
14	0.6708556545
15	0.6692115679
16	0.6676151731
17	0.6663372899
18	0.6649186924
19	0.6637042762
20	0.6625532632
21	0.6612207267
22	0.6597718583
23	0.65861075
24	0.6573583483
25	0.6563508267
26	0.6554612708
27	0.6541613594
28	0.6531454834
29	0.6519531353
30	0.650981083
31	0.6501222544
32	0.6488701895
33	0.6474548072
34	0.6464091102
35	0.6452546632
36	0.64380755
37	0.643046588
38	0.6417800497
39	0.6407076012
40	0.6396242876
41	0.6387354865
42	0.6374128853
43	0.6367997304
44	0.6358978439
45	0.6349111346
46	0.6339905229
47	0.6329279752
48	0.6320856215
49	0.6313838579
50	0.6302200907
51	0.6290866017
52	0.6279477084
53	0.6271297254
54	0.6260241953
55	0.6251795957
56	0.624622848
57	0.6241408249
58	0.6230212951
59	0.6220102252
60	0.6211157187
61	0.6202445229
62	0.619135507
63	0.618405915
64	0.6173627777
65	0.6167286476
66	0.6161115101
67	0.6151000003
68	0.6142449625
69	0.6136603597
70	0.6128651424
71	0.6122098311
72	0.6111528583
73	0.6105061993
74	0.6097235599
75	0.6091753556
76	0.6083802783
77	0.6077430834
78	0.6071755782
79	0.6063403055
80	0.6054469824
81	0.6047160395
82	0.6039401928
83	0.6029864217
84	0.6020416694
85	0.6013128216
86	0.6006680784
87	0.5997487087
88	0.5990023149
89	0.5980312689
90	0.5972386811
91	0.5968340458
92	0.5962107739
93	0.5955235319
94	0.5948842652
95	0.5939493057
96	0.5929271475
97	0.592415461
98	0.5916973997
99	0.5912513595
100	0.5904959353
101	0.5899947939
102	0.5892769974
103	0.5887276439
104	0.5878969533
105	0.5871999713
106	0.5864910054
107	0.5860737144
108	0.585441399
109	0.5846367528
110	0.5839941257
111	0.5831385847
112	0.5823808112
113	0.5816676404
114	0.5812200148
115	0.5803487762
116	0.5800062167
117	0.5795119313
118	0.5789961355
119	0.578422282
120	0.5777363205
121	0.5772311488
122	0.5767796191
123	0.5759079313
124	0.5751299042
125	0.574557037
126	0.5739664583
127	0.5734214995
128	0.5727810986
129	0.5723209154
130	0.5714753591
131	0.570877466
132	0.5705554061
133	0.5699666389
134	0.5692464644
135	0.5685386465
136	0.5678485318
137	0.567011935
138	0.5665453735
139	0.5659493244
140	0.5655464264
141	0.5649787474
142	0.5645921522
143	0.5636865596
144	0.5631214054
145	0.5624874999
146	0.562001402
147	0.5615798448
148	0.5611345069
149	0.5607338993
150	0.5601409348
151	0.5597657576
152	0.5594640085
153	0.5587242491
154	0.5583729788
155	0.5579507734
156	0.5573149745
157	0.5567606625
158	0.5563056254
159	0.5556752628
160	0.5549663989
161	0.5543056878
162	0.5535663177
163	0.5530987026
164	0.5527357834
165	0.5522724143
166	0.5517726028
167	0.5510925255
168	0.5502937508
169	0.5498480735
170	0.5495295811
171	0.5489233065
172	0.5486381623
173	0.5480529341
174	0.5477509569
175	0.5472060406
176	0.5467180114
177	0.5463246379
178	0.5457386868
179	0.5453460362
180	0.5447019536
181	0.5441844748
182	0.5437080666
183	0.5432427875
184	0.5429825176
185	0.5424090653
186	0.5420240036
187	0.5413470993
188	0.5408862949
189	0.5405304935
190	0.5401596192
191	0.5396385196
192	0.5391010746
193	0.5388043268
194	0.5384997078
195	0.5379670291
196	0.5377115808
197	0.5372113212
198	0.5369420252
199	0.5363493131
200	0.5360439724
201	0.5356903624
202	0.5351316754
203	0.5346885211
204	0.5340381393
205	0.5336824615
206	0.5333350241
207	0.5329106506
208	0.5325514961
209	0.5322338721
210	0.5316150096
211	0.5311248736
212	0.5309133131
213	0.5304240729
214	0.5301271074
215	0.5296808368
216	0.5289641374
217	0.5283586973
218	0.5277259148
219	0.5272806123
220	0.5268405548
221	0.5263587663
222	0.525949706
223	0.5256771981
224	0.525123111
225	0.5246098781
226	0.5240771157
227	0.5235394462
228	0.523111252
229	0.522671047
230	0.5222839554
231	0.521659975
232	0.5212740769
233	0.5209698046
234	0.5207104295
235	0.5203520913
236	0.5199386294
237	0.5194723586
238	0.5188484667
239	0.5184559121
240	0.5181736853
241	0.5177925073
242	0.5174952958
243	0.5172812631
244	0.5170033036
245	0.5165332629
246	0.5161544166
247	0.5157170724
248	0.515276056
249	0.5150010911
250	0.5144660796
251	0.5141338187
252	0.513803932
253	0.5135204652
254	0.5131994139
255	0.5127835971
256	0.5122483729
257	0.5117144614
258	0.5112977882
259	0.5109892689
260	0.5104506477
261	0.5102090482
262	0.5097619867
263	0.509117566
264	0.5086934097
265	0.5084448563
266	0.5081298732
267	0.5078154553
268	0.5075891068
269	0.5072235444
270	0.506746124
271	0.5063898326
272	0.5060866984
273	0.5057963487
274	0.5052121844
275	0.5047796339
276	0.5045621148
277	0.5040512601
278	0.5033129907
279	0.5027904208
280	0.5025747616
281	0.502261607
282	0.5018218176
283	0.501277403
284	0.5009606856
285	0.5004325566
286	0.5002147743
287	0.4998207498
288	0.4994268455
289	0.4990602704
290	0.4985767441
291	0.4982220521
292	0.4980018661
293	0.497675939
294	0.497513241
295	0.4970997616
296	0.4967630398
297	0.4965522507
298	0.4961724399
299	0.4957104978
300	0.4952277177
301	0.4949425136
302	0.4946827494
303	0.4941922626
304	0.4938593825
305	0.4935776676
306	0.4930157671
307	0.4926627196
308	0.4922102516
309	0.4918141359
310	0.4916185652
311	0.4914249788
312	0.4910333237
313	0.4907768053
314	0.4903291271
315	0.4900669673
316	0.4898204096
317	0.4893290881
318	0.4891244643
319	0.4887728712
320	0.4883355218
321	0.4880193727
322	0.487526493
323	0.487341863
324	0.4867817946
325	0.4866488553
326	0.4863220017
327	0.4857085478
328	0.4854206383
329	0.4851036423
330	0.484789589
331	0.4845288999
332	0.4840175821
333	0.4838606717
334	0.4833792092
335	0.4829392729
336	0.4824388082
337	0.4821582221
338	0.4819201319
339	0.4817100771
340	0.481387194
341	0.4808826155
342	0.4803501245
343	0.4801021149
344	0.4799112113
345	0.4794735185
346	0.4791976425
347	0.4790180877
348	0.4787332841
349	0.478210021
350	0.4778708024
351	0.4776034493
352	0.4773230153
353	0.4771708261
354	0.476973462
355	0.4766708424
356	0.4765764116
357	0.4761706026
358	0.4757887221
359	0.4754685243
360	0.4748407744
361	0.4744378102
362	0.4739548303
363	0.4736385836
364	0.4732751644
365	0.4728828208
366	0.4726702453
367	0.472388477
368	0.4721389193
369	0.4718414042
370	0.4713884819
371	0.4708744297
372	0.4703030333
373	0.4699933001
374	0.4695603522
375	0.4694308472
376	0.4690791416
377	0.468824743
378	0.4685097569
379	0.4681120391
380	0.4677322255
381	0.4674213179
382	0.4671507007
383	0.4667918498
384	0.4666044829
385	0.4662645339
386	0.466020988
387	0.4655985682
388	0.4652882189
389	0.4648892082
390	0.4648053073
391	0.4644286276
392	0.4641801041
393	0.463657628
394	0.463071451
395	0.4627591429
396	0.462458995
397	0.4620528681
398	0.4616337397
399	0.4612525985
400	0.461106585
401	0.4607793471
402	0.460599362
403	0.4603947745
404	0.4598771737
405	0.4597219674
406	0.4595060264
407	0.4592870493
408	0.4589122129
409	0.4585559867
410	0.4582874091
411	0.4581633576
412	0.4577557885
413	0.4576617489
414	0.4573741448
415	0.457127736
416	0.456839907
417	0.4564431837
418	0.456379279
419	0.4560223649
420	0.4556147107
421	0.4553549709
422	0.4551830662
423	0.4549144578
424	0.4546560319
425	0.4542038239
426	0.4536461464
427	0.4533317
428	0.4531403201
429	0.4529312404
430	0.452654935
431	0.4522433018
432	0.4520757554
433	0.451960125
434	0.4517784169
435	0.4513440766
436	0.4511470119
437	0.4506528681
438	0.4503237624
439	0.4500376077
440	0.4497528831
441	0.4494309344
442	0.4491028719
443	0.449063577
444	0.448707073
445	0.4485515976
446	0.4481288993
447	0.4477273235
448	0.4473371467
449	0.4470570017
450	0.4469517587
451	0.4466839559
452	0.4461771929
453	0.4457052214
454	0.4455754003
455	0.4453936943
456	0.4451775684
457	0.4448949081
458	0.444656689
459	0.4444507351
460	0.4443417296
461	0.4441618063
462	0.4439636569
463	0.4437951253
464	0.4436173993
465	0.4432832032
466	0.4429417195
467	0.4423339723
468	0.4420950952
469	0.4417259708
470	0.4415852111
471	0.4413011074
472	0.4411533764
473	0.440777133
474	0.4404560475
475	0.4401926787
476	0.4399519683
477	0.4395486759
478	0.4393017494
479	0.4391222567
480	0.4389086563
481	0.4386306219
482	0.4384330035
483	0.4381338493
484	0.4379012154
485	0.4376698529
486	0.4374629966
487	0.4372195956
488	0.4367757598
489	0.4364057109
490	0.4361658574
491	0.4359207494
492	0.4356776957
493	0.4353055224
494	0.4347827752
495	0.4344969599
496	0.4342577756
497	0.4340354769
498	0.4337320679
499	0.4333583447
500	0.4331114503
501	0.4328762966
502	0.4325651265
503	0.4323973796
504	0.4321900452
505	0.4318855665
506	0.4317460816
507	0.4313994429
508	0.4309752547
509	0.4306390729
510	0.4305354124
511	0.4301746325
512	0.4297895008
513	0.4294771159
514	0.4291020699
515	0.4288633933
516	0.4284447503
517	0.4282699918
518	0.4280758878
519	0.427870273
520	0.4275349637
521	0.4270920081
522	0.4269276456
523	0.4264952014
524	0.4261291053
525	0.4259219378
526	0.4256665853
527	0.4253506174
528	0.4250000707
529	0.4246422672
530	0.4241392955
531	0.4239643299
532	0.4235891594
533	0.4233793265
534	0.4230849763
535	0.4228518736
536	0.4225485528
537	0.4222088122
538	0.4217741974
539	0.4214879612
540	0.4211009856
541	0.42079402
542	0.4205379251
543	0.4201395123
544	0.4198052145
545	0.4195194796
546	0.4192054596
547	0.4190528734
548	0.4189528341
549	0.4186070797
550	0.4181880186
551	0.4180292076
552	0.4176510636
553	0.4173879683
554	0.41692098
555	0.4166656453
556	0.4164166125
557	0.4159844584
558	0.415725303
559	0.4154498714
560	0.415257222
561	0.4149999967
562	0.4145731211
563	0.4143617368
564	0.4142341542
565	0.4141101396
566	0.4138755777
567	0.413689621
568	0.4132194971
569	0.4131091764
570	0.4127138605
571	0.4124359056
572	0.4120498806
573	0.4117377155
574	0.4112616954
575	0.4108520698
576	0.4105076499
577	0.4102252136
578	0.4099304496
579	0.4097028767
580	0.4095877406
581	0.4093497405
582	0.4091256264
583	0.408913291
584	0.4085962048
585	0.4083522331
586	0.4080505763
587	0.4078418757
588	0.4076191878
589	0.4074201114
590	0.4071689789
591	0.4070148166
592	0.4065872786
593	0.4062332064
594	0.405840967
595	0.4057151538
596	0.4055051809
597	0.4050162232
598	0.4048957346
599	0.4046965515
600	0.404453601
601	0.404229856
602	0.4039608124
603	0.4038015762
604	0.4033588391
605	0.4031703414
606	0.4029590199
607	0.4025760932
608	0.4024669067
609	0.4022835701
610	0.4020659033
611	0.4018570783
612	0.4016438854
613	0.4013596844
614	0.4010316803
615	0.4006786259
616	0.4002533442
617	0.3999895545
618	0.3996410282
619	0.3993879777
620	0.3991575025
621	0.3987741359
622	0.3984027775
623	0.398101834
624	0.3978983477
625	0.3975086023
626	0.3970359886
627	0.3967534388
628	0.3963563322
629	0.3959175279
630	0.3957975028
631	0.3955628747
632	0.3953825034
633	0.3950441765
634	0.3947328517
635	0.3943138737
636	0.3940087591
637	0.393753098
638	0.3933278536
639	0.3931951341
640	0.3927122505
641	0.3924908813
642	0.3922437792
643	0.3918926392
644	0.3916699896
645	0.3914876583
646	0.3912597649
647	0.3908087057
648	0.3903956321
649	0.3900346647
650	0.3897418387
651	0.3894711925
652	0.3890430897
653	0.38888684
654	0.3887439128
655	0.3885669931
656	0.3881718647
657	0.3880324469
658	0.3875715725
659	0.3870168649
660	0.3866750328
661	0.3864509846
662	0.386152741
663	0.3859158633
664	0.385523945
665	0.3852733335
666	0.3849607402
667	0.3846724811
668	0.3845702421
669	0.3841921981
670	0.3840322078
671	0.3836388301
672	0.3834091786
673	0.3831202373
674	0.3827895339
675	0.3825726426
676	0.3823119392
677	0.3818840779
678	0.3814107198
679	0.3811041354
680	0.3808101791
681	0.3803987422
682	0.3802939356
683	0.3800334557
684	0.3798360984
685	0.3793941441
686	0.3792049854
687	0.378981026
688	0.3788257116
689	0.3787108145
690	0.3785245776
691	0.3783301205
692	0.3780821844
693	0.3778435286
694	0.3774996484
695	0.3771775295
696	0.3770485964
697	0.3767805969
698	0.3764259239
699	0.3761825065
700	0.3760217816
701	0.3757340937
702	0.3754186047
703	0.3751191071
704	0.3748213178
705	0.3744979191
706	0.3742503569
707	0.3740298735
708	0.3738198374
709	0.3736883928
710	0.3734014225
711	0.3730636223
712	0.372842428
713	0.3724005295
714	0.3721414094
715	0.3717697326
716	0.3715834111
717	0.3713181865
718	0.370985301
719	0.3707366821
720	0.3704844889
721	0.3700999373
722	0.3696441
723	0.3694429633
724	0.369212612
725	0.3691030721
726	0.3688850388
727	0.3686914587
728	0.368458678
729	0.367973711
730	0.3677046598
731	0.3674216501
732	0.3670418119
733	0.3669131868
734	0.3666095819
735	0.3663447382
736	0.3659274355
737	0.3655905907
738	0.3652646883
739	0.3650920255
740	0.3648865982
741	0.3644689217
742	0.3641549617
743	0.3637436296
744	0.3635146128
745	0.3633396986
746	0.363012836
747	0.3625751699
748	0.3622019042
749	0.3618581405
750	0.361597846
